event_id,flight_id,event_time_utc,status,note
E00000074,F0008521,2025-11-14T05:38:33.958259,Diverted,Weather at origin
E00000075,F0017367,2025-08-26T01:38:33.958259,Scheduled,Weather at origin
E00000076,F0017367,2025-08-26T01:38:33.958259,On Time,
E00000077,F0017367,2025-08-23T19:38:33.958259,Cancelled,Crew late
E00000078,F0010403,2025-10-22T11:38:33.958259,Diverted,ATC delay
E00000079,F0002235,2025-12-14T14:38:33.958259,Cancelled,ATC delay
E00000080,F0008360,2025-10-21T13:38:33.958259,Diverted,Tech issue
E00000081,F0008360,2025-10-22T01:38:33.958259,Scheduled,Tech issue
E00000082,F0008360,2025-10-20T10:38:33.958259,Scheduled,Crew late
E00000083,F0006260,2025-11-08T18:38:33.958259,Diverted,Tech issue
E00000084,F0005229,2025-10-12T11:38:33.958259,Diverted,ATC delay
E00000085,F0005986,2025-11-23T06:38:33.958259,Scheduled,Tech issue
E00000086,F0005986,2025-11-23T10:38:33.958259,Scheduled,ATC delay
E00000087,F0005986,2025-11-23T09:38:33.958259,Diverted,Crew late
E00000088,F0008375,2025-10-11T05:38:33.958259,On Time,
E00000089,F0008375,2025-10-10T00:38:33.958259,Delayed,ATC delay
E00000090,F0018597,2025-08-21T20:38:33.958259,Delayed,Crew late
E00000091,F0018597,2025-08-22T03:38:33.958259,On Time,
E00000092,F0018597,2025-08-21T12:38:33.958259,Cancelled,Crew late
E00000093,F0012040,2025-10-23T22:38:33.958259,Diverted,ATC delay
E00000094,F0015338,2026-02-05T04:38:33.958259,Delayed,Tech issue
E00000095,F0015338,2026-02-04T01:38:33.958259,Diverted,Weather at origin
E00000096,F0003816,2025-10-14T10:38:33.958259,Delayed,ATC delay
E00000097,F0009440,2025-10-22T16:38:33.958259,Cancelled,ATC delay
E00000098,F0009440,2025-10-23T04:38:33.958259,Cancelled,Tech issue
E00000099,F0009440,2025-10-24T11:38:33.958259,Scheduled,Tech issue
E00000100,F0016058,2025-10-30T22:38:33.958259,On Time,
E00000101,F0016058,2025-10-30T03:38:33.958259,Delayed,Crew late
E00000102,F0016058,2025-10-28T15:38:33.958259,Diverted,ATC delay
E00000103,F0011497,2025-11-01T17:38:33.958259,On Time,
E00000104,F0011497,2025-11-02T19:38:33.958259,Delayed,Security check
E00000105,F0011322,2025-12-31T06:38:33.958259,Scheduled,ATC delay
E00000106,F0015042,2026-01-06T02:38:33.958259,On Time,
E00000107,F0015042,2026-01-07T09:38:33.958259,On Time,
E00000108,F0015042,2026-01-08T14:38:33.958259,On Time,
E00000109,F0003682,2025-08-24T07:38:33.958259,On Time,
E00000110,F0017281,2025-12-05T12:38:33.958259,Delayed,ATC delay
E00000111,F0017281,2025-12-06T02:38:33.958259,Scheduled,Crew late
E00000112,F0017281,2025-12-05T04:38:33.958259,Delayed,Tech issue
E00000113,F0007007,2025-12-30T14:38:33.958259,Scheduled,Security check
E00000114,F0007007,2025-12-30T05:38:33.958259,Diverted,Weather at origin
E00000115,F0007007,2025-12-29T21:38:33.958259,Cancelled,Tech issue
E00000116,F0009314,2025-10-15T19:38:33.958259,On Time,
E00000117,F0009314,2025-10-16T07:38:33.958259,Scheduled,Tech issue
E00000118,F0009314,2025-10-16T06:38:33.958259,Cancelled,ATC delay
E00000119,F0018451,2026-01-26T20:38:33.958259,On Time,
E00000120,F0018451,2026-01-26T20:38:33.958259,On Time,
E00000121,F0018451,2026-01-28T03:38:33.958259,On Time,
E00000122,F0014040,2025-09-10T11:38:33.958259,Delayed,Weather at origin
E00000123,F0012216,2025-08-14T13:38:33.958259,Scheduled,ATC delay
E00000124,F0012216,2025-08-12T18:38:33.958259,Delayed,Crew late
E00000125,F0007583,2025-09-03T14:38:33.960277,Scheduled,Weather at origin
E00000126,F0001655,2025-08-25T05:38:33.960277,Diverted,Weather at origin
E00000127,F0001655,2025-08-24T13:38:33.960277,Cancelled,Crew late
E00000128,F0011107,2025-09-16T03:38:33.960277,On Time,
E00000129,F0011107,2025-09-15T19:38:33.960277,On Time,
E00000130,F0017718,2025-11-01T20:38:33.960277,Cancelled,Tech issue
E00000131,F0013633,2026-02-06T20:38:33.960277,Delayed,Tech issue
E00000132,F0016407,2025-12-18T23:38:33.960277,Delayed,Crew late
E00000133,F0006501,2026-01-11T16:38:33.960277,On Time,
E00000134,F0012066,2025-11-23T17:38:33.960277,Cancelled,Security check
E00000135,F0000648,2026-02-03T09:38:33.960277,Delayed,Security check
E00000136,F0000648,2026-02-05T15:38:33.960277,Delayed,Crew late
E00000137,F0000648,2026-02-05T14:38:33.960277,Delayed,Security check
E00000138,F0017950,2025-12-07T03:38:33.960277,On Time,
E00000139,F0017053,2025-09-08T06:38:33.960277,Delayed,Security check
E00000140,F0017053,2025-09-06T06:38:33.960277,Delayed,Crew late
E00000141,F0015659,2025-10-23T18:38:33.960277,Diverted,Crew late
E00000142,F0015010,2026-01-08T23:38:33.960277,Cancelled,Weather at origin
E00000143,F0015010,2026-01-10T02:38:33.960277,On Time,
E00000144,F0015010,2026-01-10T10:38:33.960277,Diverted,Weather at origin
E00000145,F0016497,2026-02-03T10:38:33.960277,Scheduled,ATC delay
E00000146,F0016497,2026-02-01T12:38:33.960277,On Time,
E00000147,F0002225,2025-11-11T12:38:33.960277,Delayed,Crew late
E00000148,F0008999,2026-01-16T10:38:33.960277,Diverted,Security check
E00000149,F0008999,2026-01-14T15:38:33.960277,On Time,
E00000150,F0004972,2026-02-06T15:38:33.960277,Cancelled,Security check
E00000151,F0004972,2026-02-05T01:38:33.960277,Delayed,Tech issue
E00000152,F0004972,2026-02-05T23:38:33.960277,Delayed,Crew late
E00000153,F0013993,2025-08-21T15:38:33.960277,Delayed,Crew late
E00000154,F0013993,2025-08-21T19:38:33.960277,Cancelled,Tech issue
E00000155,F0013993,2025-08-24T02:38:33.960277,Cancelled,Security check
E00000156,F0000774,2025-11-16T22:38:33.960277,Diverted,Crew late
E00000157,F0000774,2025-11-17T19:38:33.960277,Cancelled,Tech issue
E00000158,F0000774,2025-11-18T13:38:33.960277,Scheduled,Weather at origin
E00000159,F0007799,2025-09-14T05:38:33.960277,Cancelled,Security check
E00000160,F0007799,2025-09-14T13:38:33.960277,On Time,
E00000161,F0010223,2025-12-02T15:38:33.960277,On Time,
E00000162,F0017407,2026-01-05T02:38:33.960277,Diverted,Security check
E00000163,F0013424,2026-02-08T23:38:33.960277,Delayed,Tech issue
E00000164,F0005248,2025-09-01T18:38:33.960277,On Time,
E00000165,F0005248,2025-09-01T20:38:33.960277,Cancelled,Weather at origin
E00000166,F0005248,2025-09-03T01:38:33.960277,Delayed,Weather at origin
E00000167,F0006150,2025-09-01T03:38:33.960277,On Time,
E00000168,F0006150,2025-09-01T10:38:33.960277,Delayed,Tech issue
E00000169,F0006150,2025-09-01T13:38:33.960277,Cancelled,Crew late
E00000170,F0018035,2025-09-20T15:38:33.960277,Diverted,Security check
E00000171,F0018035,2025-09-22T12:38:33.960277,Delayed,Weather at origin
E00000172,F0018035,2025-09-21T06:38:33.960277,Scheduled,ATC delay
E00000173,F0008646,2025-08-19T21:38:33.962296,Scheduled,Tech issue
E00000174,F0008646,2025-08-18T03:38:33.962296,Scheduled,Crew late
E00000175,F0012548,2025-10-15T03:38:33.962296,Scheduled,ATC delay
E00000176,F0003445,2025-10-02T15:38:33.962296,On Time,
E00000177,F0003445,2025-10-03T21:38:33.962296,Diverted,Crew late
E00000178,F0002823,2025-10-23T07:38:33.962296,On Time,
E00000179,F0002823,2025-10-22T03:38:33.962296,On Time,
E00000180,F0002823,2025-10-20T23:38:33.962296,On Time,
E00000181,F0012436,2025-10-27T02:38:33.962296,Cancelled,Crew late
E00000182,F0012436,2025-10-26T13:38:33.962296,Scheduled,Weather at origin
E00000183,F0012436,2025-10-24T23:38:33.962296,Diverted,Security check
E00000184,F0015622,2026-01-27T06:38:33.962296,Diverted,Tech issue
E00000185,F0015622,2026-01-27T15:38:33.962296,Cancelled,ATC delay
E00000186,F0002379,2025-11-12T08:38:33.962296,Scheduled,ATC delay
E00000187,F0006240,2026-01-04T12:38:33.962296,Diverted,Security check
E00000188,F0006240,2026-01-03T03:38:33.962296,Scheduled,Crew late
E00000189,F0007514,2025-11-10T13:38:33.962296,Diverted,Crew late
E00000190,F0003601,2025-10-19T10:38:33.962296,Delayed,Weather at origin
E00000191,F0003601,2025-10-18T15:38:33.962296,Diverted,ATC delay
E00000192,F0003601,2025-10-17T18:38:33.962296,Delayed,Crew late
E00000193,F0015071,2026-01-06T15:38:33.962296,Delayed,Security check
E00000194,F0018402,2025-12-01T14:38:33.962296,Cancelled,Tech issue
E00000195,F0002565,2025-10-13T19:38:33.962296,Delayed,Weather at origin
E00000196,F0002565,2025-10-13T21:38:33.962296,On Time,
E00000197,F0010827,2025-12-08T22:38:33.962296,Diverted,Weather at origin
E00000198,F0006442,2026-01-20T14:38:33.962296,Scheduled,Security check
E00000199,F0006442,2026-01-18T10:38:33.962296,Diverted,Weather at origin
E00000200,F0006442,2026-01-20T08:38:33.962296,Diverted,Weather at origin
E00000201,F0014587,2025-10-14T10:38:33.962296,Cancelled,ATC delay
E00000202,F0015097,2025-10-21T16:38:33.962296,Diverted,Crew late
E00000203,F0015068,2025-12-14T01:38:33.962296,Cancelled,Tech issue
E00000204,F0015068,2025-12-15T18:38:33.962296,Scheduled,Weather at origin
E00000205,F0015068,2025-12-16T10:38:33.962296,Diverted,Crew late
E00000206,F0010785,2025-11-25T18:38:33.962296,Diverted,Tech issue
E00000207,F0010785,2025-11-25T07:38:33.962296,On Time,
E00000208,F0010785,2025-11-27T08:38:33.962296,Scheduled,Weather at origin
E00000209,F0014838,2025-08-29T16:38:33.962296,On Time,
E00000210,F0014838,2025-08-29T21:38:33.962296,Scheduled,Weather at origin
E00000211,F0014369,2025-09-17T21:38:33.962296,On Time,
E00000212,F0014369,2025-09-17T22:38:33.962296,Scheduled,Security check
E00000213,F0014369,2025-09-18T00:38:33.962296,Cancelled,ATC delay
E00000214,F0009916,2025-09-08T18:38:33.962296,Scheduled,Tech issue
E00000215,F0009916,2025-09-08T18:38:33.962296,Cancelled,Tech issue
E00000216,F0009916,2025-09-08T04:38:33.962296,On Time,
E00000217,F0002559,2025-08-21T04:38:33.962296,Diverted,Crew late
E00000218,F0002559,2025-08-22T05:38:33.962296,Diverted,Weather at origin
E00000219,F0003500,2025-12-29T03:38:33.962296,Delayed,Tech issue
E00000220,F0003500,2025-12-29T19:38:33.962296,Diverted,Tech issue
E00000221,F0013562,2025-09-04T17:38:33.962296,Delayed,Tech issue
E00000222,F0013562,2025-09-05T18:38:33.962296,On Time,
E00000223,F0011763,2025-10-06T15:38:33.962296,Cancelled,Tech issue
E00000224,F0011763,2025-10-06T09:38:33.962296,Diverted,Crew late
E00000225,F0011763,2025-10-06T23:38:33.962296,On Time,
E00000226,F0001181,2025-11-10T00:38:33.963433,On Time,
E00000227,F0005067,2025-09-21T14:38:33.963433,Scheduled,Crew late
E00000228,F0005067,2025-09-21T05:38:33.963433,Delayed,Weather at origin
E00000229,F0005067,2025-09-19T18:38:33.963433,On Time,
E00000230,F0004473,2026-01-12T00:38:33.963433,On Time,
E00000231,F0004473,2026-01-12T03:38:33.963433,On Time,
E00000232,F0008131,2025-11-26T23:38:33.966021,Cancelled,ATC delay
E00000233,F0008131,2025-11-27T19:38:33.966021,Scheduled,ATC delay
E00000234,F0008131,2025-11-27T02:38:33.966021,Diverted,Security check
E00000235,F0005643,2025-11-29T17:38:33.966021,Scheduled,ATC delay
E00000236,F0005643,2025-11-30T17:38:33.966021,On Time,
E00000237,F0005736,2025-08-29T10:38:33.966021,Delayed,Crew late
E00000238,F0016906,2025-10-04T03:38:33.966021,Delayed,Tech issue
E00000239,F0016906,2025-10-02T16:38:33.966021,On Time,
E00000240,F0016906,2025-10-02T11:38:33.966021,Cancelled,Weather at origin
E00000241,F0017379,2025-10-24T06:38:33.966021,Diverted,Weather at origin
E00000242,F0017379,2025-10-22T01:38:33.966021,Diverted,Tech issue
E00000243,F0004505,2025-08-31T18:38:33.966021,On Time,
E00000244,F0004505,2025-08-31T16:38:33.966021,Delayed,Security check
E00000245,F0005905,2025-09-25T09:38:33.966021,Diverted,ATC delay
E00000246,F0005905,2025-09-23T07:38:33.966021,Scheduled,Weather at origin
E00000247,F0018815,2025-12-07T10:38:33.966021,Diverted,ATC delay
E00000248,F0018416,2025-09-10T06:38:33.966021,Delayed,Crew late
E00000249,F0002779,2025-09-02T23:38:33.966595,Diverted,Crew late
E00000250,F0002779,2025-09-04T10:38:33.966595,Cancelled,Weather at origin
E00000251,F0016638,2025-12-20T07:38:33.966595,Cancelled,Weather at origin
E00000252,F0016638,2025-12-21T18:38:33.966595,Cancelled,Weather at origin
E00000253,F0001100,2026-01-11T16:38:33.966595,Cancelled,Security check
E00000254,F0001100,2026-01-13T04:38:33.966595,On Time,
E00000255,F0016767,2026-01-06T07:38:33.966595,Delayed,Tech issue
E00000256,F0016767,2026-01-07T06:38:33.966595,Delayed,Security check
E00000257,F0016767,2026-01-07T15:38:33.966595,Diverted,Crew late
E00000258,F0019261,2026-01-04T12:38:33.966595,On Time,
E00000259,F0019261,2026-01-05T00:38:33.966595,Scheduled,ATC delay
E00000260,F0011639,2026-01-07T15:38:33.966595,Delayed,Crew late
E00000261,F0011639,2026-01-05T19:38:33.966595,Cancelled,Crew late
E00000262,F0018430,2025-09-29T12:38:33.966595,On Time,
E00000263,F0018430,2025-09-29T03:38:33.966595,Scheduled,Crew late
E00000264,F0018430,2025-09-29T02:38:33.966595,Scheduled,Weather at origin
E00000265,F0014927,2025-10-26T16:38:33.966595,Scheduled,Crew late
E00000266,F0014927,2025-10-28T08:38:33.966595,Delayed,ATC delay
E00000267,F0014927,2025-10-26T14:38:33.966595,Scheduled,Weather at origin
E00000268,F0012544,2025-09-29T22:38:33.966595,On Time,
E00000269,F0012544,2025-09-28T05:38:33.966595,On Time,
E00000270,F0019591,2025-11-23T06:38:33.966595,Diverted,Crew late
E00000271,F0019591,2025-11-23T12:38:33.966595,On Time,
E00000272,F0019591,2025-11-22T11:38:33.966595,Diverted,Tech issue
E00000273,F0005672,2026-01-14T15:38:33.966595,Scheduled,Security check
E00000274,F0005672,2026-01-16T20:38:33.966595,Delayed,Crew late
E00000275,F0007494,2025-10-03T22:38:33.966595,Delayed,Tech issue
E00000276,F0007494,2025-10-04T22:38:33.966595,Cancelled,ATC delay
E00000277,F0007494,2025-10-03T18:38:33.966595,Scheduled,ATC delay
E00000278,F0007318,2025-11-24T07:38:33.966595,Delayed,Tech issue
E00000279,F0007318,2025-11-24T17:38:33.966595,On Time,
E00000280,F0003277,2026-01-19T21:38:33.966595,Diverted,Weather at origin
E00000281,F0013252,2025-09-28T04:38:33.966595,Diverted,Weather at origin
E00000282,F0009133,2025-08-29T21:38:33.966595,Delayed,Tech issue
E00000283,F0004459,2025-09-04T08:38:33.966595,Cancelled,Tech issue
E00000284,F0005610,2025-12-06T08:38:33.966595,On Time,
E00000285,F0011997,2026-01-31T06:38:33.966595,Scheduled,Crew late
E00000286,F0011997,2026-02-02T09:38:33.966595,On Time,
E00000287,F0012892,2025-08-19T11:38:33.966595,On Time,
E00000288,F0012892,2025-08-16T15:38:33.966595,Diverted,Weather at origin
E00000289,F0012892,2025-08-18T14:38:33.966595,Delayed,ATC delay
E00000290,F0015819,2026-01-30T09:38:33.966595,Diverted,Security check
E00000291,F0015819,2026-01-30T12:38:33.966595,On Time,
E00000292,F0010343,2025-12-19T04:38:33.966595,Delayed,Security check
E00000293,F0008546,2025-08-23T11:38:33.966595,On Time,
E00000294,F0008546,2025-08-24T03:38:33.966595,Scheduled,Security check
E00000295,F0005184,2026-01-10T09:38:33.966595,Cancelled,ATC delay
E00000296,F0005184,2026-01-12T07:38:33.966595,Delayed,Weather at origin
E00000297,F0001497,2026-01-02T22:38:33.966595,Scheduled,ATC delay
E00000298,F0001497,2026-01-01T20:38:33.966595,Scheduled,ATC delay
E00000299,F0001497,2026-01-02T11:38:33.966595,Scheduled,Security check
E00000300,F0006782,2025-11-30T10:38:33.966595,On Time,
E00000301,F0006782,2025-11-29T01:38:33.966595,Delayed,Crew late
E00000302,F0006782,2025-11-29T23:38:33.966595,On Time,
E00000303,F0008635,2025-10-15T20:38:33.966595,On Time,
E00000304,F0001924,2026-01-03T15:38:33.966595,Scheduled,Crew late
E00000305,F0009772,2026-02-08T13:38:33.966595,Diverted,ATC delay
E00000306,F0009772,2026-02-08T13:38:33.966595,Cancelled,ATC delay
E00000307,F0009772,2026-02-07T15:38:33.966595,Delayed,Weather at origin
E00000308,F0003660,2025-12-08T09:38:33.966595,Delayed,Tech issue
E00000309,F0012360,2025-09-03T10:38:33.966595,On Time,
E00000310,F0012360,2025-09-04T04:38:33.966595,Cancelled,Crew late
E00000311,F0012360,2025-09-05T11:38:33.966595,Cancelled,Security check
E00000312,F0012809,2025-12-05T03:38:33.966595,Diverted,ATC delay
E00000313,F0012809,2025-12-04T17:38:33.966595,On Time,
E00000314,F0012809,2025-12-05T17:38:33.966595,On Time,
E00000315,F0012136,2025-12-20T00:38:33.966595,Diverted,Security check
E00000316,F0012136,2025-12-18T19:38:33.966595,Delayed,Security check
E00000317,F0012136,2025-12-21T11:38:33.966595,On Time,
E00000318,F0008619,2025-10-04T00:38:33.966595,On Time,
E00000319,F0008619,2025-10-04T13:38:33.966595,Diverted,ATC delay
E00000320,F0018661,2025-08-22T03:38:33.966595,Cancelled,Crew late
E00000321,F0005503,2025-10-07T08:38:33.966595,Delayed,Security check
E00000322,F0009116,2025-12-02T16:38:33.966595,Scheduled,Weather at origin
E00000323,F0009116,2025-12-02T06:38:33.966595,Cancelled,Tech issue
E00000324,F0009116,2025-12-03T12:38:33.966595,Cancelled,ATC delay
E00000325,F0019510,2026-01-27T20:38:33.966595,Diverted,Security check
E00000326,F0019510,2026-01-27T19:38:33.966595,Scheduled,Security check
E00000327,F0019510,2026-01-29T22:38:33.966595,Cancelled,Crew late
E00000328,F0008333,2025-10-15T07:38:33.966595,Delayed,Security check
E00000329,F0008333,2025-10-13T22:38:33.966595,Cancelled,Tech issue
E00000330,F0018193,2025-08-17T01:38:33.966595,Cancelled,Weather at origin
E00000331,F0018193,2025-08-16T17:38:33.966595,Cancelled,Tech issue
E00000332,F0003356,2025-11-28T08:38:33.966595,On Time,
E00000333,F0003356,2025-11-27T10:38:33.966595,Diverted,Security check
E00000334,F0003356,2025-11-28T02:38:33.966595,Scheduled,Weather at origin
E00000335,F0016792,2025-12-05T01:38:33.966595,Scheduled,ATC delay
E00000336,F0016792,2025-12-05T07:38:33.966595,Scheduled,Tech issue
E00000337,F0016858,2025-10-20T07:38:33.966595,Cancelled,Weather at origin
E00000338,F0016858,2025-10-19T07:38:33.966595,On Time,
E00000339,F0011487,2025-09-03T11:38:33.966595,Cancelled,Crew late
E00000340,F0011487,2025-09-04T10:38:33.966595,Diverted,Crew late
E00000341,F0003435,2025-09-26T20:38:33.966595,Scheduled,Tech issue
E00000342,F0003435,2025-09-27T01:38:33.966595,Cancelled,Crew late
E00000343,F0007129,2025-10-22T11:38:33.966595,Diverted,Security check
E00000344,F0007129,2025-10-20T18:38:33.966595,Diverted,Security check
E00000345,F0007129,2025-10-23T03:38:33.966595,Cancelled,Tech issue
E00000346,F0011994,2025-10-29T11:38:33.966595,Delayed,Tech issue
E00000347,F0011994,2025-10-29T02:38:33.966595,Scheduled,Weather at origin
E00000348,F0003347,2025-10-30T23:38:33.966595,On Time,
E00000349,F0003347,2025-10-29T06:38:33.966595,On Time,
E00000350,F0003347,2025-10-31T04:38:33.966595,Diverted,Security check
E00000351,F0003365,2025-12-06T21:38:33.966595,Delayed,Crew late
E00000352,F0015091,2025-12-26T15:38:33.966595,On Time,
E00000353,F0015091,2025-12-24T18:38:33.966595,Diverted,Weather at origin
E00000354,F0015091,2025-12-26T06:38:33.966595,Cancelled,ATC delay
E00000355,F0019061,2025-09-11T19:38:33.966595,Delayed,Weather at origin
E00000356,F0019061,2025-09-14T05:38:33.966595,Diverted,ATC delay
E00000357,F0019061,2025-09-11T17:38:33.966595,On Time,
E00000358,F0000898,2025-09-01T05:38:33.966595,Diverted,Weather at origin
E00000359,F0003644,2025-10-09T16:38:33.966595,On Time,
E00000360,F0017589,2025-11-13T03:38:33.966595,Diverted,Security check
E00000361,F0009037,2026-01-12T05:38:33.966595,On Time,
E00000362,F0006381,2026-02-03T05:38:33.966595,Delayed,Tech issue
E00000363,F0006381,2026-02-05T02:38:33.966595,Diverted,Weather at origin
E00000364,F0018521,2025-09-24T20:38:33.966595,On Time,
E00000365,F0008073,2025-11-25T06:38:33.966595,On Time,
E00000366,F0012180,2025-11-26T00:38:33.966595,Cancelled,ATC delay
E00000367,F0012180,2025-11-25T09:38:33.966595,Cancelled,ATC delay
E00000368,F0012180,2025-11-25T01:38:33.966595,Diverted,Weather at origin
E00000369,F0019746,2026-02-05T14:38:33.968608,On Time,
E00000370,F0016787,2025-11-10T11:38:33.968608,On Time,
E00000371,F0014861,2025-12-11T01:38:33.968608,Cancelled,Security check
E00000372,F0001340,2026-01-16T17:38:33.968608,Diverted,Security check
E00000373,F0001340,2026-01-17T09:38:33.968608,Cancelled,ATC delay
E00000374,F0014409,2025-09-16T14:38:33.968608,Delayed,Security check
E00000375,F0014409,2025-09-15T17:38:33.968608,Diverted,Crew late
E00000376,F0009502,2026-01-25T16:38:33.968608,On Time,
E00000377,F0015203,2025-09-06T13:38:33.968608,Scheduled,Tech issue
E00000378,F0015203,2025-09-04T20:38:33.968608,On Time,
E00000379,F0000380,2026-01-26T05:38:33.968608,Cancelled,Tech issue
E00000380,F0010753,2025-11-05T04:38:33.968608,Delayed,Tech issue
E00000381,F0010786,2025-11-13T00:38:33.968608,Scheduled,Crew late
E00000382,F0018021,2025-12-03T03:38:33.968608,Cancelled,Crew late
E00000383,F0018021,2025-12-04T18:38:33.968608,Scheduled,Crew late
E00000384,F0016808,2026-02-01T18:38:33.968608,Scheduled,ATC delay
E00000385,F0016808,2026-02-01T00:38:33.968608,Delayed,Crew late
E00000386,F0005631,2025-12-24T04:38:33.968608,Scheduled,ATC delay
E00000387,F0005631,2025-12-23T10:38:33.968608,Diverted,Weather at origin
E00000388,F0015242,2025-11-28T22:38:33.968608,Cancelled,Crew late
E00000389,F0004624,2025-08-15T08:38:33.968608,Scheduled,Weather at origin
E00000390,F0004624,2025-08-15T08:38:33.968608,Scheduled,Tech issue
