flight_id,airline,flight_number,origin_airport,destination_airport,departure_time_utc,arrival_time_utc,aircraft_type,distance_km,stops,layover_airports,flight_type,status,delay_minutes,delay_cause,scheduled_duration_min
F0000051,Qatar Airways,QA6678,AP179,AP033,2025-10-15T02:38:32.502537,2025-10-15T17:16:32.502537,A321neo,11131,0,,Non-stop,On Time,,,878
F0000052,Vistara,VI8406,AP125,AP082,2025-09-02T07:53:32.502537,2025-09-02T22:26:32.502537,ATR72,10220,0,,Non-stop,Delayed,211,Security,873
F0000053,Vistara,VI1603,AP154,AP100,2025-10-12T03:23:32.502537,2025-10-12T09:22:32.502537,ATR72,1780,1,AP095,One-stop,On Time,,,359
F0000054,Vistara,VI3203,AP262,AP272,2025-11-25T21:23:32.502537,2025-11-26T16:58:32.502537,B777-300ER,13508,0,,Non-stop,On Time,,,1175
F0000055,Vistara,VI5484,AP103,AP267,2026-01-20T20:38:32.502537,2026-01-21T09:14:32.502537,B737-800,9074,1,AP044,One-stop,On Time,,,756
F0000056,Qatar Airways,QA5372,AP072,AP169,2025-09-22T22:38:32.504549,2025-09-23T05:28:32.504549,B737-800,3432,1,AP075,One-stop,Cancelled,,Strike,410
F0000057,GoAir,GO2914,AP218,AP182,2026-01-06T10:08:32.504549,2026-01-07T04:37:32.504549,ATR72,12595,0,,Non-stop,On Time,,,1109
F0000058,Emirates,EM1749,AP021,AP276,2025-11-06T06:53:32.504549,2025-11-06T17:50:32.504549,A350,5929,2,AP294;AP091,Two-stops,On Time,,,657
F0000059,United,UN8554,AP002,AP157,2025-10-11T12:38:32.504549,2025-10-11T22:03:32.504549,B787,6389,0,,Non-stop,On Time,,,565
F0000060,Qatar Airways,QA6224,AP294,AP297,2026-01-18T17:53:32.504549,2026-01-18T18:56:32.504549,B737-800,1391,0,,Non-stop,On Time,,,63
F0000061,Lufthansa,LU4235,AP276,AP176,2025-09-16T20:53:32.504549,2025-09-16T22:43:32.504549,B787,1199,1,AP042,One-stop,On Time,,,110
F0000062,Vistara,VI9803,AP298,AP159,2025-12-26T18:08:32.504549,2025-12-27T13:01:32.504549,B787,12645,1,AP222,One-stop,On Time,,,1133
F0000063,Emirates,EM5064,AP054,AP290,2025-12-05T19:08:32.504549,2025-12-06T10:46:32.504549,A321neo,12047,0,,Non-stop,On Time,,,938
F0000064,Emirates,EM5185,AP171,AP224,2025-12-04T02:53:32.504549,2025-12-04T14:28:32.504549,B787,7174,0,,Non-stop,On Time,,,695
F0000065,SpiceJet,SP7929,AP218,AP087,2026-02-02T13:38:32.504549,2026-02-03T05:52:32.504549,A321neo,13179,0,,Non-stop,On Time,,,974
F0000066,Emirates,EM5700,AP134,AP074,2025-11-30T00:08:32.504549,2025-11-30T16:13:32.504549,A350,12922,1,AP023,One-stop,Delayed,132,ATC,965
F0000067,IndiGo,IN1074,AP153,AP033,2026-02-05T12:08:32.504549,2026-02-05T18:14:32.504549,B777-300ER,4757,0,,Non-stop,On Time,,,366
F0000068,Lufthansa,LU2431,AP196,AP131,2025-11-15T14:38:32.504549,2025-11-15T16:21:32.504549,B737-800,726,0,,Non-stop,On Time,,,103
F0000069,Singapore Airlines,SI7310,AP220,AP245,2026-01-08T13:23:32.504549,2026-01-08T18:43:32.504549,B787,3919,0,,Non-stop,On Time,,,320
F0000070,SpiceJet,SP3309,AP276,AP062,2025-12-05T02:08:32.504549,2025-12-05T16:46:32.504549,B737-800,10660,1,AP029,One-stop,On Time,,,878
F0000071,Qatar Airways,QA4565,AP239,AP157,2025-09-27T20:53:32.504549,2025-09-28T00:55:32.504549,B737-800,3574,1,AP045,One-stop,On Time,,,242
F0000072,Qatar Airways,QA4033,AP096,AP216,2025-10-12T01:08:32.504549,2025-10-12T17:42:32.504549,ATR72,11878,0,,Non-stop,On Time,,,994
F0000073,Cathay,CA2484,AP048,AP088,2026-01-23T09:38:32.504549,2026-01-23T11:35:32.504549,B787,1231,0,,Non-stop,On Time,,,117
F0000074,Cathay,CA8976,AP175,AP036,2025-09-30T23:08:32.504549,2025-10-01T11:54:32.504549,ATR72,9523,0,,Non-stop,On Time,,,766
F0000075,Delta,DE8561,AP132,AP258,2025-09-18T12:38:32.504549,2025-09-18T19:35:32.504549,A350,2403,0,,Non-stop,On Time,,,417
F0000076,Vistara,VI8719,AP149,AP037,2025-12-12T02:08:32.504549,2025-12-12T07:38:32.504549,B737-800,4357,0,,Non-stop,On Time,,,330
F0000077,Lufthansa,LU3369,AP145,AP291,2026-02-06T14:23:32.504549,2026-02-07T03:15:32.504549,B777-300ER,8624,1,AP150,One-stop,Cancelled,,Crew,772
F0000078,IndiGo,IN406,AP189,AP263,2025-10-30T22:38:32.504549,2025-10-31T03:09:32.504549,B777-300ER,2155,0,,Non-stop,On Time,,,271
F0000079,Delta,DE7748,AP276,AP278,2025-12-28T07:23:32.504549,2025-12-28T15:16:32.504549,B787,6155,1,AP262,One-stop,On Time,,,473
F0000080,Qatar Airways,QA9788,AP023,AP258,2025-08-20T11:53:32.504549,2025-08-20T18:41:32.504549,B787,2714,0,,Non-stop,On Time,,,408
F0000081,Lufthansa,LU1641,AP002,AP252,2025-12-31T09:23:32.506560,2026-01-01T04:24:32.506560,B777-300ER,13457,0,,Non-stop,On Time,,,1141
F0000082,Cathay,CA3736,AP246,AP199,2025-12-02T14:38:32.506560,2025-12-03T07:18:32.506560,A350,12365,0,,Non-stop,On Time,,,1000
F0000083,Qatar Airways,QA6244,AP180,AP165,2025-08-25T07:38:32.506560,2025-08-25T10:09:32.506560,A320,1642,1,AP229,One-stop,On Time,,,151
F0000084,Emirates,EM1295,AP184,AP021,2025-12-25T20:38:32.506560,2025-12-26T13:19:32.506560,B777-300ER,10738,0,,Non-stop,On Time,,,1001
F0000085,SpiceJet,SP3994,AP016,AP096,2025-12-04T22:08:32.506560,2025-12-05T08:22:32.506560,B737-800,6970,0,,Non-stop,On Time,,,614
F0000086,SpiceJet,SP3135,AP039,AP085,2025-08-22T02:08:32.506560,2025-08-22T11:39:32.506560,B777-300ER,4943,0,,Non-stop,On Time,,,571
F0000087,SpiceJet,SP6544,AP037,AP181,2025-12-13T23:08:32.506560,2025-12-14T08:07:32.506560,A321neo,4155,0,,Non-stop,On Time,,,539
F0000088,Delta,DE5559,AP101,AP063,2025-11-18T18:53:32.506560,2025-11-19T01:11:32.506560,A320,5393,0,,Non-stop,On Time,,,378
F0000089,Emirates,EM4732,AP071,AP279,2025-08-20T11:53:32.506560,2025-08-20T15:14:32.506560,B737-800,1367,0,,Non-stop,Delayed,232,Late Incoming Aircraft,201
F0000090,IndiGo,IN5392,AP069,AP234,2025-08-18T05:38:32.506560,2025-08-18T10:34:32.506560,A321neo,1024,0,,Non-stop,On Time,,,296
F0000091,Cathay,CA9836,AP054,AP056,2025-11-15T01:38:32.506560,2025-11-15T09:57:32.506560,B777-300ER,6008,0,,Non-stop,On Time,,,499
F0000092,Emirates,EM2827,AP052,AP271,2025-08-27T03:53:32.506560,2025-08-27T12:58:32.506560,B737-800,5093,0,,Non-stop,Delayed,227,Late Incoming Aircraft,545
F0000093,Delta,DE8955,AP089,AP050,2025-12-21T12:08:32.506560,2025-12-21T18:48:32.506560,B737-800,5003,0,,Non-stop,Diverted,382,Weather,400
F0000094,Delta,DE7165,AP150,AP251,2025-12-06T02:38:32.506560,2025-12-06T06:58:32.506560,B737-800,829,0,,Non-stop,On Time,,,260
F0000095,United,UN1098,AP291,AP234,2025-09-05T20:23:32.506560,2025-09-05T21:49:32.506560,A350,411,0,,Non-stop,On Time,,,86
F0000096,United,UN8556,AP287,AP160,2026-02-02T02:08:32.506560,2026-02-02T11:36:32.506560,B737-800,6048,0,,Non-stop,On Time,,,568
F0000097,Air India,AI9052,AP220,AP048,2025-12-15T16:08:32.506560,2025-12-16T02:37:32.506560,B777-300ER,7211,0,,Non-stop,On Time,,,629
F0000098,United,UN6743,AP275,AP222,2025-11-28T09:08:32.506560,2025-11-28T15:01:32.506560,B787,3179,0,,Non-stop,On Time,,,353
F0000099,IndiGo,IN9080,AP010,AP021,2025-12-11T06:38:32.506560,2025-12-11T21:38:32.506560,B737-800,11196,0,,Non-stop,On Time,,,900
F0000100,Lufthansa,LU6654,AP139,AP068,2025-08-27T13:23:32.506560,2025-08-27T16:12:32.506560,A350,1097,1,AP010,One-stop,On Time,,,169
F0000101,Singapore Airlines,SI9009,AP115,AP083,2025-11-06T10:23:32.506560,2025-11-06T18:33:32.506560,A320,6889,0,,Non-stop,On Time,,,490
F0000102,Emirates,EM385,AP099,AP282,2025-12-09T03:08:32.506560,2025-12-09T05:14:32.506560,B737-800,1029,0,,Non-stop,Delayed,217,Late Incoming Aircraft,126
F0000103,Vistara,VI919,AP145,AP136,2025-12-04T13:08:32.506560,2025-12-04T20:34:32.506560,B737-800,6251,0,,Non-stop,Delayed,465,Technical,446
F0000104,SpiceJet,SP1469,AP188,AP213,2025-08-24T07:23:32.506560,2025-08-24T21:27:32.506560,B737-800,9975,0,,Non-stop,On Time,,,844
F0000105,Qatar Airways,QA8631,AP257,AP187,2025-09-25T02:08:32.506560,2025-09-25T06:32:32.506560,B737-800,1372,0,,Non-stop,On Time,,,264
F0000106,Air India,AI8535,AP017,AP198,2025-10-12T20:23:32.506560,2025-10-13T13:57:32.506560,A320,13328,0,,Non-stop,On Time,,,1054
F0000107,Lufthansa,LU5061,AP106,AP074,2025-11-12T15:38:32.506560,2025-11-13T02:11:32.506560,B737-800,8200,0,,Non-stop,Delayed,155,Weather,633
F0000108,United,UN6115,AP119,AP235,2025-12-03T07:53:32.506560,2025-12-03T21:23:32.506560,A321neo,9818,1,AP198,One-stop,On Time,,,810
F0000109,GoAir,GO9095,AP129,AP282,2025-12-09T09:23:32.506560,2025-12-09T11:36:32.506560,A320,906,1,AP265,One-stop,On Time,,,133
F0000110,IndiGo,IN2027,AP159,AP153,2025-11-13T07:53:32.506560,2025-11-14T01:15:32.506560,A321neo,11757,0,,Non-stop,On Time,,,1042
F0000111,IndiGo,IN1227,AP112,AP238,2025-12-12T02:53:32.506560,2025-12-12T15:46:32.506560,B787,7337,0,,Non-stop,On Time,,,773
F0000112,Delta,DE2200,AP169,AP084,2025-08-21T08:38:32.506560,2025-08-21T21:31:32.506560,A320,8348,2,AP185;AP130,Two-stops,On Time,,,773
F0000113,SpiceJet,SP572,AP010,AP085,2026-01-30T06:23:32.506560,2026-01-30T15:44:32.506560,A321neo,5124,0,,Non-stop,Diverted,354,Other,561
F0000114,Lufthansa,LU1061,AP221,AP295,2025-09-10T18:23:32.506560,2025-09-10T19:34:32.506560,B777-300ER,1410,0,,Non-stop,On Time,,,71
F0000115,United,UN9626,AP155,AP254,2025-11-16T13:23:32.506560,2025-11-16T21:13:32.506560,A321neo,5703,1,AP103,One-stop,On Time,,,470
F0000116,United,UN5781,AP268,AP007,2025-11-30T13:38:32.508568,2025-11-30T19:43:32.508568,A350,5045,0,,Non-stop,On Time,,,365
F0000117,United,UN8078,AP224,AP079,2026-02-02T23:08:32.508568,2026-02-03T11:11:32.508568,B777-300ER,9702,0,,Non-stop,On Time,,,723
F0000118,IndiGo,IN5244,AP300,AP124,2026-01-22T23:38:32.508568,2026-01-23T08:56:32.508568,A321neo,6373,2,AP145;AP011,Two-stops,On Time,,,558
F0000119,Singapore Airlines,SI2733,AP044,AP226,2025-09-17T18:53:32.508568,2025-09-18T02:11:32.508568,B777-300ER,3883,0,,Non-stop,On Time,,,438
F0000120,Singapore Airlines,SI2946,AP065,AP086,2025-09-20T07:53:32.508568,2025-09-21T02:20:32.508568,A320,13748,0,,Non-stop,On Time,,,1107
F0000121,SpiceJet,SP7440,AP294,AP206,2025-09-20T22:23:32.508568,2025-09-21T15:14:32.508568,A320,10695,0,,Non-stop,Cancelled,,Security,1011
F0000122,United,UN8518,AP295,AP028,2025-12-07T06:23:32.508568,2025-12-07T08:25:32.508568,B777-300ER,1528,0,,Non-stop,On Time,,,122
F0000123,Emirates,EM6215,AP297,AP133,2025-12-11T22:38:32.508568,2025-12-12T03:13:32.508568,A350,2098,0,,Non-stop,On Time,,,275
F0000124,Qatar Airways,QA9235,AP012,AP270,2025-12-10T08:38:32.508568,2025-12-10T14:41:32.508568,B777-300ER,3151,0,,Non-stop,On Time,,,363
F0000125,IndiGo,IN2694,AP156,AP055,2025-08-21T12:53:32.508568,2025-08-21T14:10:32.508568,ATR72,1505,0,,Non-stop,On Time,,,77
F0000126,SpiceJet,SP1232,AP123,AP052,2026-01-06T12:38:32.508568,2026-01-06T16:31:32.508568,A321neo,614,0,,Non-stop,On Time,,,233
F0000127,Lufthansa,LU1847,AP293,AP241,2025-12-04T10:38:32.508568,2025-12-04T21:52:32.508568,A321neo,6503,0,,Non-stop,On Time,,,674
F0000128,SpiceJet,SP8686,AP175,AP250,2025-11-18T19:38:32.508568,2025-11-19T09:29:32.508568,B777-300ER,8375,0,,Non-stop,On Time,,,831
F0000129,Delta,DE333,AP203,AP227,2025-12-16T18:23:32.508568,2025-12-17T00:25:32.508568,B777-300ER,4062,1,AP243,One-stop,On Time,,,362
F0000130,Vistara,VI5673,AP112,AP128,2026-01-18T16:38:32.508568,2026-01-19T06:06:32.508568,A350,9451,0,,Non-stop,On Time,,,808
F0000131,Cathay,CA5754,AP075,AP028,2026-01-15T15:23:32.508568,2026-01-16T05:35:32.508568,B777-300ER,11433,1,AP089,One-stop,On Time,,,852
F0000132,Vistara,VI1844,AP131,AP076,2025-11-21T10:38:32.508568,2025-11-22T01:58:32.508568,B787,12490,0,,Non-stop,On Time,,,920
F0000133,SpiceJet,SP9247,AP026,AP083,2026-02-01T02:23:32.508568,2026-02-01T18:39:32.508568,B737-800,11506,1,AP160,One-stop,Cancelled,,Crew,976
F0000134,GoAir,GO1286,AP191,AP150,2025-09-19T17:53:32.508568,2025-09-20T04:04:32.508568,B737-800,8087,0,,Non-stop,Cancelled,,Strike,611
F0000135,Emirates,EM4861,AP143,AP199,2025-11-06T05:23:32.508568,2025-11-07T00:27:32.508568,A321neo,13801,1,AP059,One-stop,On Time,,,1144
F0000136,Lufthansa,LU8331,AP262,AP032,2025-12-17T23:08:32.508568,2025-12-18T02:28:32.508568,A321neo,2000,1,AP180,One-stop,On Time,,,200
F0000137,Vistara,VI9828,AP299,AP062,2025-12-28T01:08:32.508568,2025-12-28T08:38:32.508568,A321neo,5643,0,,Non-stop,On Time,,,450
F0000138,Cathay,CA2177,AP142,AP264,2025-08-20T22:08:32.508568,2025-08-21T03:42:32.508568,B787,2386,0,,Non-stop,On Time,,,334
F0000139,Qatar Airways,QA8456,AP137,AP018,2025-12-11T05:23:32.508568,2025-12-11T12:54:32.508568,A321neo,4666,0,,Non-stop,Delayed,226,Security,451
F0000140,Emirates,EM8214,AP005,AP068,2026-01-15T05:53:32.508568,2026-01-15T08:01:32.508568,A320,1316,1,AP127,One-stop,On Time,,,128
F0000141,GoAir,GO3757,AP258,AP151,2025-11-04T14:53:32.508568,2025-11-05T02:51:32.508568,A350,8996,0,,Non-stop,On Time,,,718
F0000142,Lufthansa,LU1953,AP015,AP014,2025-10-08T02:53:32.508568,2025-10-08T14:18:32.508568,ATR72,6678,1,AP163,One-stop,On Time,,,685
F0000143,IndiGo,IN1005,AP232,AP135,2025-09-06T00:23:32.508568,2025-09-06T13:47:32.508568,B777-300ER,9170,0,,Non-stop,On Time,,,804
F0000144,Singapore Airlines,SI4371,AP271,AP113,2025-09-05T10:08:32.508568,2025-09-05T21:01:32.508568,B777-300ER,7105,0,,Non-stop,Delayed,284,Other,653
F0000145,Lufthansa,LU8367,AP169,AP115,2025-08-26T08:08:32.508568,2025-08-27T00:21:32.508568,B787,10879,0,,Non-stop,On Time,,,973
F0000146,Delta,DE5863,AP196,AP005,2026-01-04T03:38:32.508568,2026-01-04T17:03:32.508568,ATR72,10461,0,,Non-stop,On Time,,,805
F0000147,GoAir,GO1773,AP252,AP212,2025-10-27T11:23:32.508568,2025-10-28T05:51:32.508568,ATR72,12540,0,,Non-stop,Cancelled,,Crew,1108
F0000148,Air India,AI8512,AP296,AP173,2025-08-18T18:08:32.508568,2025-08-19T03:55:32.508568,ATR72,6029,1,AP103,One-stop,On Time,,,587
F0000149,Emirates,EM4255,AP236,AP049,2025-09-22T17:53:32.508568,2025-09-23T08:17:32.508568,B787,10247,0,,Non-stop,Delayed,190,Weather,864
F0000150,GoAir,GO4157,AP110,AP201,2025-12-11T12:38:32.508568,2025-12-12T00:52:32.508568,A350,8566,0,,Non-stop,On Time,,,734
F0000151,United,UN3960,AP238,AP171,2025-12-23T18:08:32.508568,2025-12-24T09:40:32.508568,A320,10921,0,,Non-stop,On Time,,,932
F0000152,Qatar Airways,QA3182,AP242,AP208,2025-09-16T11:23:32.508568,2025-09-16T13:04:32.508568,A320,262,0,,Non-stop,On Time,,,101
F0000153,Singapore Airlines,SI7825,AP261,AP039,2025-10-04T05:08:32.508568,2025-10-04T13:00:32.508568,A320,3346,0,,Non-stop,On Time,,,472
F0000154,SpiceJet,SP2823,AP066,AP086,2025-08-20T03:08:32.508568,2025-08-20T09:52:32.508568,A350,2591,0,,Non-stop,On Time,,,404
F0000155,Emirates,EM3027,AP185,AP007,2026-01-30T20:23:32.508568,2026-01-31T00:22:32.508568,B777-300ER,2392,0,,Non-stop,Delayed,472,Security,239
F0000156,IndiGo,IN5711,AP204,AP128,2026-01-05T16:53:32.508568,2026-01-06T02:08:32.508568,A350,7771,0,,Non-stop,On Time,,,555
F0000157,GoAir,GO5264,AP036,AP202,2025-10-28T03:53:32.508568,2025-10-28T09:31:32.508568,ATR72,3395,1,AP284,One-stop,On Time,,,338
F0000158,Qatar Airways,QA1406,AP124,AP279,2025-12-16T02:23:32.508568,2025-12-16T21:11:32.508568,A350,13774,1,AP078,One-stop,On Time,,,1128
F0000159,United,UN1105,AP069,AP261,2025-11-22T03:08:32.508568,2025-11-22T06:01:32.508568,B787,2027,1,AP092,One-stop,On Time,,,173
F0000160,Lufthansa,LU1665,AP290,AP046,2025-10-25T15:08:32.508568,2025-10-25T19:08:32.508568,B777-300ER,2620,0,,Non-stop,Delayed,153,ATC,240
F0000161,Lufthansa,LU9458,AP181,AP019,2026-01-22T09:23:32.508568,2026-01-22T21:16:32.508568,ATR72,8446,2,AP066;AP189,Two-stops,On Time,,,713
F0000162,SpiceJet,SP5485,AP049,AP172,2025-11-22T07:08:32.508568,2025-11-22T17:12:32.508568,A350,8521,0,,Non-stop,Diverted,310,Technical,604
F0000163,Vistara,VI8635,AP096,AP128,2025-11-12T08:53:32.508568,2025-11-12T23:21:32.508568,B777-300ER,9344,0,,Non-stop,On Time,,,868
F0000164,Air India,AI5303,AP145,AP106,2025-11-05T05:08:32.508568,2025-11-06T00:45:32.508568,A350,13167,0,,Non-stop,On Time,,,1177
F0000165,Qatar Airways,QA8735,AP071,AP068,2026-01-14T10:38:32.508568,2026-01-14T22:17:32.508568,A320,8350,0,,Non-stop,On Time,,,699
F0000166,Air India,AI2971,AP219,AP255,2025-12-07T04:08:32.508568,2025-12-07T12:02:32.508568,A320,5392,0,,Non-stop,On Time,,,474
F0000167,Delta,DE1494,AP143,AP121,2026-01-27T00:53:32.508568,2026-01-27T20:21:32.508568,A321neo,13776,1,AP105,One-stop,On Time,,,1168
F0000168,Emirates,EM4527,AP027,AP127,2025-10-11T13:23:32.508568,2025-10-11T17:55:32.508568,ATR72,3618,1,AP266,One-stop,On Time,,,272
